Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Measure
1992,$2719,$3496,$3018,$3433,$2916,$3515,$2894,$3125,$2968,$3213,$3275,$4453,$39025,Defense Aircraft and Parts (millions of dollars)
1993,$2456,$3045,$3001,$2890,$2874,$3024,$2880,$2767,$3257,$3235,$2820,$3218,$35467,Defense Aircraft and Parts (millions of dollars)
1994,$2471,$2698,$3046,$2614,$2506,$2829,$2504,$3007,$2828,$2802,$2837,$3322,$33464,Defense Aircraft and Parts (millions of dollars)
1995,$2090,$2484,$2604,$2389,$2384,$2682,$2366,$2425,$2583,$2480,$2433,$3064,$29984,Defense Aircraft and Parts (millions of dollars)
1996,$1881,$2268,$2790,$2164,$2313,$2687,$2003,$2713,$2921,$2394,$2564,$2995,$29693,Defense Aircraft and Parts (millions of dollars)
1997,$1893,$2346,$2500,$2339,$2207,$2495,$1914,$2074,$2263,$2097,$2801,$2543,$27472,Defense Aircraft and Parts (millions of dollars)
1998,$1758,$2156,$2341,$2096,$2200,$2050,$1778,$2275,$2437,$2568,$2465,$2814,$26938,Defense Aircraft and Parts (millions of dollars)
1999,$1903,$2305,$2387,$2103,$2264,$2322,$1950,$2138,$2319,$2359,$3030,$2639,$27719,Defense Aircraft and Parts (millions of dollars)
2000,$1589,$1800,$2509,$1897,$1901,$2726,$1777,$1779,$2103,$1914,$2129,$2436,$24560,Defense Aircraft and Parts (millions of dollars)
2001,$1608,$1843,$2264,$1799,$2074,$2928,$1923,$2420,$2984,$2125,$2706,$3153,$27827,Defense Aircraft and Parts (millions of dollars)
2002,$2030,$2368,$3101,$2398,$2746,$3519,$2628,$2821,$3484,$2707,$3414,$3059,$34275,Defense Aircraft and Parts (millions of dollars)
2003,$2537,$2724,$3577,$2817,$3044,$3797,$2867,$3297,$3726,$3324,$3147,$4002,$38859,Defense Aircraft and Parts (millions of dollars)
2004,$2843,$4380,$4046,$3121,$3366,$3790,$3035,$3312,$3607,$3128,$3131,$3415,$41174,Defense Aircraft and Parts (millions of dollars)
2005,$2721,$2876,$3563,$3036,$2975,$3581,$2559,$3051,$3552,$2801,$3139,$3833,$37687,Defense Aircraft and Parts (millions of dollars)
2006,$2317,$2806,$3503,$2884,$2960,$3433,$2779,$3322,$3595,$3274,$3789,$4441,$39103,Defense Aircraft and Parts (millions of dollars)
2007,$2751,$3305,$3933,$3242,$3611,$3923,$3455,$3741,$4056,$3661,$3918,$4355,$43951,Defense Aircraft and Parts (millions of dollars)
2008,$3060,$4586,$5462,$4415,$4590,$5400,$4588,$4909,$5682,$4656,$4602,$5418,$57368,Defense Aircraft and Parts (millions of dollars)
2009,$3323,$4501,$5541,$4483,$5079,$6063,$4321,$5030,$6538,$5003,$5342,$6346,$61570,Defense Aircraft and Parts (millions of dollars)
2010,$4607,$5242,$6114,$5142,$4883,$5867,$4579,$4844,$6068,$4846,$4907,$5832,$62931,Defense Aircraft and Parts (millions of dollars)
2011,$3660,$4474,$5620,$4336,$4487,$5578,$3764,$4391,$4913,$4074,$4182,$5487,$54966,Defense Aircraft and Parts (millions of dollars)
2012,$3988,$4093,$6123,$3900,$4731,$5626,$3832,$4747,$5470,$4380,$5077,$6171,$58138,Defense Aircraft and Parts (millions of dollars)
2013,$3478,$4345,$6178,$4196,$4716,$5733,$3777,$5110,$5787,$4711,$5901,$5079,$59011,Defense Aircraft and Parts (millions of dollars)
2014,$3849,$4158,$6039,$4414,$4887,$5326,$4072,$4546,$5251,$4556,$4929,$5646,$57673,Defense Aircraft and Parts (millions of dollars)
2015,$3149,$3541,$5274,$3793,$4188,$5736,$4181,$4528,$5619,$4879,$4389,$5393,$54670,Defense Aircraft and Parts (millions of dollars)
2016,$3087,$3470,$5225,$2879,$3846,$4570,$3285,$4033,$4764,$3608,$4248,$4997,$48012,Defense Aircraft and Parts (millions of dollars)
2017,$2878,$3874,$5558,$3742,$4568,$5571,$3840,$4678,$5276,$4743,$5067,$5950,$55745,Defense Aircraft and Parts (millions of dollars)
2018,$3465,$4067,$5135,$3727,$4625,$5101,$4096,$4784,$5539,$4799,$4987,$5902,$56227,Defense Aircraft and Parts (millions of dollars)
2019,$4326,$4422,$5754,$4526,$5271,$5896,$4492,$5028,$5580,$5046,$4999,$5277,$60617,Defense Aircraft and Parts (millions of dollars)
2020,$4202,$4485,$4926,$4196,$4375,$5035,$4327,$4613,$4802,$4719,$4945,$4733,$55358,Defense Aircraft and Parts (millions of dollars)
2021,$3840,$4081,$5081,$4221,$4235,$4726,$4172,$4518,$5010,$4626,$4850,$4854,$54214,Defense Aircraft and Parts (millions of dollars)
